variation_id,direction_rank,sensitivity,interpretation,spectral_effect,Rsh_component,Ra_component,Ca_component,Rb_component,Cb_component
variation_015,1,123273.94204337009,Primary: Cb (100.0%),Low-frequency magnitude,-4.855371134330549e-06,2.126743224877383e-12,2.063719214526106e-10,-1.9294375689477977e-06,-0.9999999999863516
variation_015,2,3.521550752682938,Primary: Rsh (89.0%),Mid-frequency phase,0.8900119872462491,1.1006455039859981e-08,1.0705058100572633e-06,0.4559371256322368,-5.201040731206591e-06
variation_015,3,0.12995727168687202,Primary: Rb (89.0%),High-frequency behavior,-0.4559371256058989,-9.958725355021515e-08,-9.647183965799873e-06,0.8900119872231534,4.965213917899384e-07
variation_016,1,120189.40858745945,Primary: Cb (100.0%),Low-frequency magnitude,-5.408866044859627e-06,2.159383782085975e-12,2.310022327118344e-10,-1.763882336821978e-06,-0.9999999999838165
variation_016,2,3.609388128764909,Primary: Rsh (92.3%),Mid-frequency phase,0.9226783341093926,1.100064015514252e-08,1.1796545271384916e-06,0.3855706053780128,-5.670744691935223e-06
variation_016,3,0.13484782603091258,Primary: Rb (92.3%),High-frequency behavior,-0.3855706053500202,-9.713142174746375e-08,-1.0370420078765802e-05,0.9226783340808725,4.580037367317354e-07
variation_017,1,98485.10419000692,Primary: Cb (100.0%),Low-frequency magnitude,-7.434780462449923e-06,2.0543566841048318e-12,2.05101786454717e-10,-1.819121590538569e-06,-0.9999999999707074
variation_017,2,3.8058088658004854,Primary: Rsh (95.5%),Mid-frequency phase,0.9554022345974976,8.55917198123781e-09,8.563494655682322e-07,0.29530758552227937,-7.640406272287976e-06
variation_017,3,0.1273670947611184,Primary: Rb (95.5%),High-frequency behavior,-0.2953075855108181,-8.282121171795889e-08,-8.25518639127425e-06,0.955402234596197,4.575542328864294e-07
variation_018,1,150549.7095720105,Primary: Cb (100.0%),Low-frequency magnitude,-3.942639929965969e-06,1.7655876754335277e-12,1.5523362256344977e-10,-1.7596239233941057e-06,-0.9999999999906798
variation_018,2,3.368132198046595,Primary: Rsh (86.2%),Mid-frequency phase,0.8618872043708414,1.2284895620771273e-08,1.0823676082899665e-06,0.5071000364052801,-4.290416262563943e-06
variation_018,3,0.1638967846995107,Primary: Rb (86.2%),High-frequency behavior,-0.5071000363864563,-8.705407392145528e-08,-7.642978877050505e-06,0.8618872043592475,4.827155067045242e-07
variation_019,1,161356.5642565608,Primary: Cb (100.0%),Low-frequency magnitude,-5.92121273648146e-06,1.469935284572399e-12,1.7495853091189334e-10,-6.525285734799076e-07,-0.9999999999822567
variation_019,2,3.6473090852572327,Primary: Rsh (98.7%),Mid-frequency phase,0.9873356064285783,1.3749391046207219e-08,1.6398233476834887e-06,0.15864551755477557,-5.9497449010441974e-06
variation_019,3,0.28624808567090315,Primary: Rb (98.7%),High-frequency behavior,-0.15864551754138068,-5.720542278643107e-08,-6.798954065272631e-06,0.9873356064265646,2.9510916305988383e-07
variation_020,1,125009.96632942077,Primary: Cb (100.0%),Low-frequency magnitude,-8.017958951674478e-06,1.081801315165841e-12,9.776736733751431e-11,-6.912055095431088e-07,-0.9999999999676171
variation_020,2,4.080510416058713,Primary: Rsh (99.3%),Mid-frequency phase,0.9930626359100995,6.73414752395779e-09,6.096319754454646e-07,0.11758656851109262,-8.04361193537286e-06
variation_020,3,0.20251555950814645,Primary: Rb (99.3%),High-frequency behavior,-0.11758656850961982,-4.311923809728721e-08,-3.891481507066125e-06,0.9930626359353781,2.5639391392624576e-07
variation_021,1,178079.76799546822,Primary: Cb (100.0%),Low-frequency magnitude,-4.227652689642715e-06,1.1141088051252853e-12,8.850603880978781e-11,-1.0577092140144527e-06,-0.9999999999905042
variation_021,2,3.4272089438668445,Primary: Rsh (94.7%),Mid-frequency phase,0.9473369281494072,1.0443327698511925e-08,8.309615707021157e-07,0.32023857441739617,-4.3437308031005314e-06
variation_021,3,0.23801146145530902,Primary: Rb (94.7%),High-frequency behavior,-0.3202385744132848,-5.079148808688497e-08,-4.030712603787223e-06,0.9473369281524784,3.518504724091916e-07
variation_022,1,98855.22759569572,Primary: Cb (100.0%),Low-frequency magnitude,-6.978907889007458e-06,2.2868373850951255e-12,2.283777672366918e-10,-2.0681713266810872e-06,-0.9999999999735089
variation_022,2,3.685708671537368,Primary: Rsh (93.6%),Mid-frequency phase,0.9358800766518909,9.690607945717786e-09,9.69988168813891e-07,0.3523187222848102,-7.260076329363929e-06
variation_022,3,0.1273242792765716,Primary: Rb (93.6%),High-frequency behavior,-0.3523187222675589,-9.188323845686174e-08,-9.160055734496473e-06,0.93588007664207,5.232395684765156e-07
variation_023,1,98731.24912107617,Primary: Cb (100.0%),Low-frequency magnitude,-6.156330577234289e-06,2.6272317637261706e-12,3.0744766023393446e-10,-1.9297972868284684e-06,-0.9999999999791878
variation_023,2,3.7673765137916244,Primary: Rsh (93.1%),Mid-frequency phase,0.9307522689485743,9.464166286339087e-09,1.1109450818337887e-06,0.3656503983375768,-6.435649799590216e-06
variation_023,3,0.09516156250061152,Primary: Rb (93.1%),High-frequency behavior,-0.36565039829134366,-1.2126395774144563e-07,-1.4154404289192966e-05,0.9307522688819043,4.5490152003855354e-07
variation_024,1,111808.8063636506,Primary: Cb (100.0%),Low-frequency magnitude,-6.299538080664171e-06,1.5585310815845663e-12,1.449812069205748e-10,-1.4020739686059067e-06,-0.9999999999791748
variation_024,2,3.918518082849586,Primary: Rsh (96.3%),Mid-frequency phase,0.9632313277526015,6.694842116868409e-09,6.24115465135075e-07,0.26867342480051426,-6.444612444678903e-06
variation_024,3,0.11541810789360807,Primary: Rb (96.3%),High-frequency behavior,-0.26867342479381795,-7.275862140737451e-08,-6.753986772591816e-06,0.9632313277524884,3.4199689939145336e-07
